acquisition_year,renewal,discount_rate,covered_seasons,pre_marketing_pv,after_175
2026,0.7,0.0,3,654.1950331525424,479.19503315254235
2026,0.7,0.1,3,609.782154755568,434.78215475556794
2026,0.7,0.2,3,574.6195591807909,399.61955918079093
2026,0.8,0.0,3,728.8748314576271,553.8748314576271
2026,0.8,0.1,3,673.9697499929962,498.9697499929962
2026,0.8,0.2,3,630.6294079096045,455.62940790960454
2026,0.9,0.0,3,809.5290136271187,634.5290136271187
2026,0.9,0.1,3,743.0948525563805,568.0948525563805
2026,0.9,0.2,3,690.788134322034,515.788134322034
2027,0.7,0.0,2,507.8226284745763,332.8226284745763
2027,0.7,0.1,2,488.8132252696456,313.8132252696456
2027,0.7,0.2,2,472.9720559322034,297.9720559322034
2027,0.8,0.0,2,537.6945477966102,362.6945477966102
2027,0.8,0.1,2,515.9695155624037,340.96951556240367
2027,0.8,0.2,2,497.86532203389834,322.86532203389834
2027,0.9,0.0,2,567.5664671186441,392.56646711864414
2027,0.9,0.1,2,543.1258058551618,368.12580585516184
2027,0.9,0.2,2,522.7585881355933,347.7585881355933
2028,0.7,0.0,1,298.719193220339,123.71919322033898
2028,0.7,0.1,1,298.719193220339,123.71919322033898
2028,0.7,0.2,1,298.719193220339,123.71919322033898
2028,0.8,0.0,1,298.719193220339,123.71919322033898
2028,0.8,0.1,1,298.719193220339,123.71919322033898
2028,0.8,0.2,1,298.719193220339,123.71919322033898
2028,0.9,0.0,1,298.719193220339,123.71919322033898
2028,0.9,0.1,1,298.719193220339,123.71919322033898
2028,0.9,0.2,1,298.719193220339,123.71919322033898
