source_id,url,raw_file,retrieved
fancode_youtube_atp_search,https://www.youtube.com/@FanCode/search?query=ATP,data/raw/public_video/fancode_youtube_atp_search__5a97a1402572.html,2026-09-14T06:19:43.859741+00:00
fancode_youtube_tennis_search,https://www.youtube.com/@FanCode/search?query=tennis,data/raw/public_video/fancode_youtube_tennis_search__802aa91b8408.html,2026-09-14T06:19:11.996275+00:00
sackmann_archive_2025,https://raw.githubusercontent.com/Aneeshers/tennis-sackmann-archive/main/atp/atp_matches_2025.csv,data/raw/player_results/sackmann_archive_2025__78c356ef9328.csv,2026-09-14T06:07:46.406149+00:00
