request,sport,level_rho,difference_rho,circular_shift_abs_exceedance,zero_share,n
four_term,tennis,0.06433762104820245,0.11572081533951699,0.5,0.0,255
four_term,Formula 1,0.4582550290163717,0.3674068410726294,0.0,0.0,255
four_term,MotoGP,0.1744021734679127,0.271172267651008,0.10833333333333334,0.00784313725490196,255
football_pair,football,0.1792095878439723,0.19319874748665053,0.0,0.0,255
