credit,control_upgrade,required_treatment_upgrade,required_relative_lift,leakage_per_organic_upgrade,qualifier
0.0,0.05,0.05,0.0,0.0,Same entry cohort and costs
0.0,0.1,0.1,0.0,0.0,Same entry cohort and costs
0.0,0.2,0.2,0.0,0.0,Same entry cohort and costs
0.0,0.4,0.4,0.0,0.0,Same entry cohort and costs
39.0,0.05,0.05602621978015271,0.12052439560305417,32.1304474576271,Same entry cohort and costs
39.0,0.1,0.11205243956030542,0.12052439560305417,32.1304474576271,Same entry cohort and costs
39.0,0.2,0.22410487912061083,0.12052439560305417,32.1304474576271,Same entry cohort and costs
39.0,0.4,0.44820975824122167,0.12052439560305417,32.1304474576271,Same entry cohort and costs
44.5,0.05,0.05699496491720002,0.1398992983440004,36.66166440677961,Same entry cohort and costs
44.5,0.1,0.11398992983440004,0.1398992983440004,36.66166440677961,Same entry cohort and costs
44.5,0.2,0.22797985966880008,0.1398992983440004,36.66166440677961,Same entry cohort and costs
44.5,0.4,0.45595971933760016,0.1398992983440004,36.66166440677961,Same entry cohort and costs
50.0,0.05,0.0579978005077829,0.15995601015565786,41.19288135593217,Same entry cohort and costs
50.0,0.1,0.1159956010155658,0.15995601015565786,41.19288135593217,Same entry cohort and costs
50.0,0.2,0.2319912020311316,0.15995601015565786,41.19288135593217,Same entry cohort and costs
50.0,0.4,0.4639824040622632,0.15995601015565786,41.19288135593217,Same entry cohort and costs
89.0,0.05,0.06626545566985874,0.3253091133971746,73.3233288135593,Same entry cohort and costs
89.0,0.1,0.13253091133971748,0.3253091133971746,73.3233288135593,Same entry cohort and costs
89.0,0.2,0.26506182267943496,0.3253091133971746,73.3233288135593,Same entry cohort and costs
89.0,0.4,0.5301236453588699,0.3253091133971746,73.3233288135593,Same entry cohort and costs
