source_id,url,raw_file,retrieved
atp_future_calendar_rendered_v2,https://www.atptour.com/en/tournaments/,data/raw/browser_captures/atp_future_calendar_rendered_v2__1a53be9f8b07.txt,2026-09-14T06:14:12.972022+00:00
brisbane_oop_20260105,https://www.tennis.com.au/content/dam/tennisaustralia/tennis-topic/sot/brisbane/documents/main-draw/orders-of-play/brisbane-international-order-of-play-20260105-v2.pdf.coredownload.pdf,data/raw/schedules/brisbane_oop_20260105__08550ae4df3d.pdf,2026-09-13T19:35:55.949877+00:00
brisbane_oop_20260110,https://www.tennis.com.au/content/dam/tennisaustralia/tennis-topic/sot/brisbane/documents/main-draw/orders-of-play/brisbane-international-order-of-play-20260110-v3.pdf.coredownload.pdf,data/raw/schedules/brisbane_oop_20260110__5dc99040d89f.pdf,2026-09-13T19:35:57.934384+00:00
brisbane_oop_20260111,https://www.tennis.com.au/content/dam/tennisaustralia/tennis-topic/sot/brisbane/documents/main-draw/orders-of-play/brisbane-international-order-of-play-20260111-v3.pdf.coredownload.pdf,data/raw/schedules/brisbane_oop_20260111__81c5486260a9.pdf,2026-09-13T19:35:58.217514+00:00
doha_2026_official_op,https://www.protennislive.com/posting/2026/451/op.pdf,data/raw/schedules/doha_2026_official_op__dc055eddbcaa.pdf,2026-09-13T19:39:00.045216+00:00
dubai_2026_official_op,https://www.protennislive.com/posting/2026/495/op.pdf,data/raw/schedules/dubai_2026_official_op__f8257a3c79bd.pdf,2026-09-14T06:04:59.029175+00:00
halle_2026_official_op,https://www.protennislive.com/posting/2026/500/op.pdf,data/raw/schedules/halle_2026_official_op__efef964f3542.pdf,2026-09-13T19:39:00.045342+00:00
hongkong_2026_official_op,https://www.protennislive.com/posting/2026/336/op.pdf,data/raw/schedules/hongkong_2026_official_op__a88a6a558f39.pdf,2026-09-13T19:39:02.265225+00:00
indian_wells_2026_official_op,https://www.protennislive.com/posting/2026/404/op.pdf,data/raw/schedules/indian_wells_2026_official_op__aed291c849e1.pdf,2026-09-14T06:05:10.695453+00:00
madrid_2026_official_op,https://www.protennislive.com/posting/2026/1536/op.pdf,data/raw/schedules/madrid_2026_official_op__e213173d7359.pdf,2026-09-14T06:04:46.998339+00:00
marrakech_2026_official_op,https://www.protennislive.com/posting/2026/360/op.pdf,data/raw/schedules/marrakech_2026_official_op__c7900638e405.pdf,2026-09-14T06:04:35.310235+00:00
miami_2026_official_op,https://www.protennislive.com/posting/2026/403/op.pdf,data/raw/schedules/miami_2026_official_op__ac8a1feb8a6a.pdf,2026-09-14T06:04:22.973815+00:00
rome_2026_official_op,https://www.protennislive.com/posting/2026/416/op.pdf,data/raw/schedules/rome_2026_official_op__e694becf7a0b.pdf,2026-09-13T19:39:03.585660+00:00
rotterdam_2026_official_op,https://www.protennislive.com/posting/2026/407/op.pdf,data/raw/schedules/rotterdam_2026_official_op__3070b2bbab07.pdf,2026-09-13T19:39:01.685835+00:00
v5_atp_media_guide_lta,https://www.lta.org.uk/siteassets/events/birmingham/media/2026-atp-media-guide-full-updated.pdf,data/raw/company/v5_atp_media_guide_lta__9e42011f5ec7.pdf,2026-09-14T17:06:15.845526+00:00
winston_oop_pdf,https://www.protennislive.com/posting/2026/6242/op.pdf,data/raw/schedules/winston_oop_pdf__136c0d6bc73e.pdf,2026-09-13T19:32:35.665791+00:00
winston_semifinal_oop,https://www.winstonsalemopen.com/en/scores/schedule?dayToDisplay=7,data/raw/schedules/winston_semifinal_oop__efd3897db3d9.html,2026-09-13T19:32:37.219223+00:00
