reported_cac,incremental_fraction,true_icac
150,0.1,1500.0
150,0.15000000000000002,999.9999999999999
150,0.20000000000000004,749.9999999999999
150,0.25000000000000006,599.9999999999999
150,0.30000000000000004,499.99999999999994
150,0.3500000000000001,428.57142857142844
150,0.40000000000000013,374.9999999999999
150,0.4500000000000001,333.33333333333326
150,0.5000000000000001,299.99999999999994
150,0.5500000000000002,272.72727272727263
150,0.6000000000000002,249.99999999999991
150,0.6500000000000001,230.76923076923072
150,0.7000000000000002,214.28571428571422
150,0.7500000000000002,199.99999999999994
150,0.8000000000000003,187.49999999999994
150,0.8500000000000003,176.47058823529406
150,0.9000000000000002,166.66666666666663
150,0.9500000000000003,157.8947368421052
150,1.0000000000000002,149.99999999999997
175,0.1,1750.0
175,0.15000000000000002,1166.6666666666665
175,0.20000000000000004,874.9999999999999
175,0.25000000000000006,699.9999999999999
175,0.30000000000000004,583.3333333333333
175,0.3500000000000001,499.9999999999999
175,0.40000000000000013,437.49999999999983
175,0.4500000000000001,388.8888888888888
175,0.5000000000000001,349.99999999999994
175,0.5500000000000002,318.1818181818181
175,0.6000000000000002,291.6666666666666
175,0.6500000000000001,269.23076923076917
175,0.7000000000000002,249.99999999999994
175,0.7500000000000002,233.33333333333326
175,0.8000000000000003,218.74999999999991
175,0.8500000000000003,205.8823529411764
175,0.9000000000000002,194.4444444444444
175,0.9500000000000003,184.21052631578942
175,1.0000000000000002,174.99999999999997
200,0.1,2000.0
200,0.15000000000000002,1333.333333333333
200,0.20000000000000004,999.9999999999998
200,0.25000000000000006,799.9999999999998
200,0.30000000000000004,666.6666666666665
200,0.3500000000000001,571.4285714285713
200,0.40000000000000013,499.99999999999983
200,0.4500000000000001,444.44444444444434
200,0.5000000000000001,399.9999999999999
200,0.5500000000000002,363.6363636363635
200,0.6000000000000002,333.3333333333332
200,0.6500000000000001,307.6923076923076
200,0.7000000000000002,285.71428571428567
200,0.7500000000000002,266.6666666666666
200,0.8000000000000003,249.99999999999991
200,0.8500000000000003,235.29411764705873
200,0.9000000000000002,222.22222222222217
200,0.9500000000000003,210.5263157894736
200,1.0000000000000002,199.99999999999994
