source_id,url,raw_file,retrieved
kofluence_2025_report,https://www.kofluence.com/the-2025-influencer-marketing-report/,data/raw/channel_costs/kofluence_2025_report__6419508dc4ae.html,2026-09-13T15:31:33.859832+00:00
v3_meta_inr_ratecard_jan2026,https://bulkymarketing.com/wp-content/uploads/2026/01/meta-price.pdf,data/raw/cost_benchmarks/v3_meta_inr_ratecard_jan2026__40f9aa9afe44.pdf,2026-09-14T12:13:57.052579+00:00
v3_nurdd_india,https://www.nurdd.club/blogs/paid-media-benchmarks-for-indian-d2c-brands-2026-cpm-cpc-ctr-and-roas-by-category,data/raw/cost_benchmarks/v3_nurdd_india__4ea1b57ff8ee.html,2026-09-14T12:13:57.882565+00:00
