source_id,url,raw_file,retrieved
v3_jolpica_races_2026,https://api.jolpi.ca/ergast/f1/2026/races/,data/raw/schedules/v3_jolpica_races_2026__11a7c0be6996.json,2026-09-14T12:16:09.727956+00:00
v4_laliga_2526,https://football-data.co.uk/mmz4281/2526/SP1.csv,data/raw/schedules/v4_laliga_2526__4ca2e285f3ee.csv,2026-09-14T16:35:39.608774+00:00
v4_laliga_2627,https://football-data.co.uk/mmz4281/2627/SP1.csv,data/raw/schedules/v4_laliga_2627__deeed48a605c.csv,2026-09-14T16:35:39.608820+00:00
v4_motogp_finished_events,https://api.motogp.pulselive.com/motogp/v1/results/events?seasonUuid=e88b4e43-2209-47aa-8e83-0e0b1cedde6e&isFinished=true,data/raw/schedules/v4_motogp_finished_events__fdf77c6db60e.json,2026-09-14T16:39:11.931768+00:00
v4_motogp_future_events,https://api.motogp.pulselive.com/motogp/v1/results/events?seasonUuid=e88b4e43-2209-47aa-8e83-0e0b1cedde6e&isFinished=false,data/raw/schedules/v4_motogp_future_events__595695186c9c.json,2026-09-14T16:39:11.931835+00:00
v4_motogp_report_ara_rac,https://resources.motogp.com/files/results/2026/ARA/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_ara_rac__a4a0987c0592.pdf,2026-09-14T16:41:31.758458+00:00
v4_motogp_report_ara_spr,https://resources.motogp.com/files/results/2026/ARA/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_ara_spr__49c1ed3f5c0b.pdf,2026-09-14T16:41:31.525301+00:00
v4_motogp_report_bra_rac,https://resources.motogp.com/files/results/2026/BRA/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_bra_rac__3b4c96bd0952.pdf,2026-09-14T16:41:26.188658+00:00
v4_motogp_report_bra_spr,https://resources.motogp.com/files/results/2026/BRA/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_bra_spr__2d2e1d7bae8b.pdf,2026-09-14T16:41:26.188605+00:00
v4_motogp_report_cat_rac,https://resources.motogp.com/files/results/2026/CAT/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_cat_rac__fe322782d42f.pdf,2026-09-14T16:41:28.099619+00:00
v4_motogp_report_cat_rac2,https://resources.motogp.com/files/results/2026/CAT/MotoGP/RAC2/Session.pdf,data/raw/schedules/v4_motogp_report_cat_rac2__252a9fac6950.pdf,2026-09-14T16:41:28.729217+00:00
v4_motogp_report_cat_spr,https://resources.motogp.com/files/results/2026/CAT/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_cat_spr__86308f9901b3.pdf,2026-09-14T16:41:28.070127+00:00
v4_motogp_report_cze_rac,https://resources.motogp.com/files/results/2026/CZE/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_cze_rac__2286cc1d758b.pdf,2026-09-14T16:41:29.891948+00:00
v4_motogp_report_cze_spr,https://resources.motogp.com/files/results/2026/CZE/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_cze_spr__b5ec397fe622.pdf,2026-09-14T16:41:29.613264+00:00
v4_motogp_report_fra_rac,https://resources.motogp.com/files/results/2026/FRA/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_fra_rac__e3c209caad48.pdf,2026-09-14T16:41:28.066349+00:00
v4_motogp_report_fra_spr,https://resources.motogp.com/files/results/2026/FRA/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_fra_spr__ebeee418b676.pdf,2026-09-14T16:41:27.691103+00:00
v4_motogp_report_gbr_rac,https://resources.motogp.com/files/results/2026/GBR/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_gbr_rac__a7e51b0fda51.pdf,2026-09-14T16:41:31.429644+00:00
v4_motogp_report_gbr_spr,https://resources.motogp.com/files/results/2026/GBR/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_gbr_spr__715cc5588670.pdf,2026-09-14T16:41:31.017592+00:00
v4_motogp_report_ger_rac,https://resources.motogp.com/files/results/2026/GER/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_ger_rac__e234ac4028e4.pdf,2026-09-14T16:41:30.744884+00:00
v4_motogp_report_ger_spr,https://resources.motogp.com/files/results/2026/GER/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_ger_spr__426a5c15ba22.pdf,2026-09-14T16:41:30.731945+00:00
v4_motogp_report_hun_rac,https://resources.motogp.com/files/results/2026/HUN/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_hun_rac__7fc9edfc0742.pdf,2026-09-14T16:41:29.452576+00:00
v4_motogp_report_hun_spr,https://resources.motogp.com/files/results/2026/HUN/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_hun_spr__a2f3e83db769.pdf,2026-09-14T16:41:29.154131+00:00
v4_motogp_report_ita_rac,https://resources.motogp.com/files/results/2026/ITA/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_ita_rac__a9f275ab8129.pdf,2026-09-14T16:41:28.911385+00:00
v4_motogp_report_ita_spr,https://resources.motogp.com/files/results/2026/ITA/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_ita_spr__cbd056437b86.pdf,2026-09-14T16:41:28.820386+00:00
v4_motogp_report_ned_rac,https://resources.motogp.com/files/results/2026/NED/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_ned_rac__6472f0704f2d.pdf,2026-09-14T16:41:30.731473+00:00
v4_motogp_report_ned_spr,https://resources.motogp.com/files/results/2026/NED/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_ned_spr__e339da153eaf.pdf,2026-09-14T16:41:29.925478+00:00
v4_motogp_report_rsm_rac,https://resources.motogp.com/files/results/2026/RSM/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_rsm_rac__747efa6fe189.pdf,2026-09-14T16:41:31.961152+00:00
v4_motogp_report_rsm_spr,https://resources.motogp.com/files/results/2026/RSM/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_rsm_spr__fe632c3e319d.pdf,2026-09-14T16:41:31.819259+00:00
v4_motogp_report_spa_rac,https://resources.motogp.com/files/results/2026/SPA/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_spa_rac__a6f5afc56d90.pdf,2026-09-14T16:41:27.691005+00:00
v4_motogp_report_spa_spr,https://resources.motogp.com/files/results/2026/SPA/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_spa_spr__146563391f97.pdf,2026-09-14T16:41:27.364035+00:00
v4_motogp_report_tha_rac,https://resources.motogp.com/files/results/2026/THA/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_tha_rac__176f86a02a77.pdf,2026-09-14T16:41:26.188548+00:00
v4_motogp_report_tha_spr,https://resources.motogp.com/files/results/2026/THA/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_tha_spr__96b2ea20acc1.pdf,2026-09-14T16:41:26.188336+00:00
v4_motogp_report_usa_rac,https://resources.motogp.com/files/results/2026/USA/MotoGP/RAC/Session.pdf,data/raw/schedules/v4_motogp_report_usa_rac__e01df47731ce.pdf,2026-09-14T16:41:27.316711+00:00
v4_motogp_report_usa_spr,https://resources.motogp.com/files/results/2026/USA/MotoGP/SPR/Session.pdf,data/raw/schedules/v4_motogp_report_usa_spr__229f39ee5004.pdf,2026-09-14T16:41:27.154023+00:00
v4_motogp_sessions_ara,https://api.motogp.pulselive.com/motogp/v1/results/sessions?eventUuid=23b7a561-17e4-4aa6-9be3-2529a5b69938&categoryUuid=e8c110ad-64aa-4e8e-8a86-f2f152f6a942,data/raw/schedules/v4_motogp_sessions_ara__9aba6b9830db.json,2026-09-14T16:40:10.720296+00:00
v4_motogp_sessions_aus,https://api.motogp.pulselive.com/motogp/v1/results/sessions?eventUuid=c1dea7a7-e35e-4363-9e28-7997e3bc6fbf&categoryUuid=e8c110ad-64aa-4e8e-8a86-f2f152f6a942,data/raw/schedules/v4_motogp_sessions_aus__d518ba46f1c3.json,2026-09-14T16:40:11.003440+00:00
v4_motogp_sessions_aut,https://api.motogp.pulselive.com/motogp/v1/results/sessions?eventUuid=e191f3f6-218b-4a1c-bbd2-3ed8b5135683&categoryUuid=e8c110ad-64aa-4e8e-8a86-f2f152f6a942,data/raw/schedules/v4_motogp_sessions_aut__a2304f48f5ea.json,2026-09-14T16:40:10.953550+00:00
v4_motogp_sessions_bra,https://api.motogp.pulselive.com/motogp/v1/results/sessions?eventUuid=738a8b22-f744-4c75-847b-a2565dce17de&categoryUuid=e8c110ad-64aa-4e8e-8a86-f2f152f6a942,data/raw/schedules/v4_motogp_sessions_bra__23f8f5f26af2.json,2026-09-14T16:40:09.217151+00:00
v4_motogp_sessions_cat,https://api.motogp.pulselive.com/motogp/v1/results/sessions?eventUuid=a0251657-afe5-4d90-a66f-d4779babd571&categoryUuid=e8c110ad-64aa-4e8e-8a86-f2f152f6a942,data/raw/schedules/v4_motogp_sessions_cat__340107ab3d6b.json,2026-09-14T16:40:10.042298+00:00
v4_motogp_sessions_code,https://raw.githubusercontent.com/micheleberardi/racingmike_motogp_import/main/sessions.py,data/raw/methodology/v4_motogp_sessions_code__21b85391dbaf.py,2026-09-14T16:38:05.879210+00:00
v4_motogp_sessions_cze,https://api.motogp.pulselive.com/motogp/v1/results/sessions?eventUuid=f9d2e80c-431b-485f-afcf-671950648ad7&categoryUuid=e8c110ad-64aa-4e8e-8a86-f2f152f6a942,data/raw/schedules/v4_motogp_sessions_cze__00cd9f2ebd16.json,2026-09-14T16:40:10.252604+00:00
v4_motogp_sessions_fra,https://api.motogp.pulselive.com/motogp/v1/results/sessions?eventUuid=edcfdba3-7a1f-44f3-8fe8-1f8a6609770c&categoryUuid=e8c110ad-64aa-4e8e-8a86-f2f152f6a942,data/raw/schedules/v4_motogp_sessions_fra__ad895f48861d.json,2026-09-14T16:40:10.033992+00:00
v4_motogp_sessions_gbr,https://api.motogp.pulselive.com/motogp/v1/results/sessions?eventUuid=6a16e0cb-ef4b-44b1-92e5-2e958cca0815&categoryUuid=e8c110ad-64aa-4e8e-8a86-f2f152f6a942,data/raw/schedules/v4_motogp_sessions_gbr__6db851da9bf2.json,2026-09-14T16:40:10.574233+00:00
v4_motogp_sessions_ger,https://api.motogp.pulselive.com/motogp/v1/results/sessions?eventUuid=b26a84f7-2d9b-4cc5-a3e5-3d1abe916d8c&categoryUuid=e8c110ad-64aa-4e8e-8a86-f2f152f6a942,data/raw/schedules/v4_motogp_sessions_ger__50aabc91c36d.json,2026-09-14T16:40:10.449423+00:00
v4_motogp_sessions_hun,https://api.motogp.pulselive.com/motogp/v1/results/sessions?eventUuid=4bd780c9-9da4-48c6-a69f-ebfd6bf8a425&categoryUuid=e8c110ad-64aa-4e8e-8a86-f2f152f6a942,data/raw/schedules/v4_motogp_sessions_hun__afa942abd635.json,2026-09-14T16:40:10.051078+00:00
v4_motogp_sessions_ina,https://api.motogp.pulselive.com/motogp/v1/results/sessions?eventUuid=275ca55d-45d3-440f-ad59-17d6b3e6b2d3&categoryUuid=e8c110ad-64aa-4e8e-8a86-f2f152f6a942,data/raw/schedules/v4_motogp_sessions_ina__c8b8a5cc3a47.json,2026-09-14T16:40:10.971045+00:00
v4_motogp_sessions_ita,https://api.motogp.pulselive.com/motogp/v1/results/sessions?eventUuid=dd266adb-3930-4099-a3d1-a9807362f048&categoryUuid=e8c110ad-64aa-4e8e-8a86-f2f152f6a942,data/raw/schedules/v4_motogp_sessions_ita__c518a0410c8d.json,2026-09-14T16:40:10.042580+00:00
