price,tax,other_variable_cost,cac,net_sales,gateway_cost,pre_marketing_contribution,after_acquisition,contribution_pct_receipts,scope
49,0.18,30,150,41.525423728813564,1.1563999999999999,10.369023728813566,-139.63097627118643,0.21161272915946053,"Assumption scenario, not observed FanCode margin"
49,0.18,30,175,41.525423728813564,1.1563999999999999,10.369023728813566,-164.63097627118643,0.21161272915946053,"Assumption scenario, not observed FanCode margin"
49,0.18,30,200,41.525423728813564,1.1563999999999999,10.369023728813566,-189.63097627118643,0.21161272915946053,"Assumption scenario, not observed FanCode margin"
49,0.18,60,0,41.525423728813564,1.1563999999999999,-19.630976271186434,-19.630976271186434,-0.40063216879972313,"Assumption scenario, not observed FanCode margin"
49,0.18,60,150,41.525423728813564,1.1563999999999999,-19.630976271186434,-169.63097627118643,-0.40063216879972313,"Assumption scenario, not observed FanCode margin"
49,0.18,60,175,41.525423728813564,1.1563999999999999,-19.630976271186434,-194.63097627118643,-0.40063216879972313,"Assumption scenario, not observed FanCode margin"
49,0.18,60,200,41.525423728813564,1.1563999999999999,-19.630976271186434,-219.63097627118643,-0.40063216879972313,"Assumption scenario, not observed FanCode margin"
79,0.0,10,0,79.0,1.8644,67.1356,67.1356,0.8498177215189873,"Assumption scenario, not observed FanCode margin"
79,0.0,10,150,79.0,1.8644,67.1356,-82.8644,0.8498177215189873,"Assumption scenario, not observed FanCode margin"
79,0.0,10,175,79.0,1.8644,67.1356,-107.8644,0.8498177215189873,"Assumption scenario, not observed FanCode margin"
79,0.0,10,200,79.0,1.8644,67.1356,-132.8644,0.8498177215189873,"Assumption scenario, not observed FanCode margin"
79,0.0,30,0,79.0,1.8644,47.1356,47.1356,0.5966531645569619,"Assumption scenario, not observed FanCode margin"
79,0.0,30,150,79.0,1.8644,47.1356,-102.8644,0.5966531645569619,"Assumption scenario, not observed FanCode margin"
79,0.0,30,175,79.0,1.8644,47.1356,-127.8644,0.5966531645569619,"Assumption scenario, not observed FanCode margin"
79,0.0,30,200,79.0,1.8644,47.1356,-152.8644,0.5966531645569619,"Assumption scenario, not observed FanCode margin"
79,0.0,60,0,79.0,1.8644,17.135599999999997,17.135599999999997,0.21690632911392402,"Assumption scenario, not observed FanCode margin"
79,0.0,60,150,79.0,1.8644,17.135599999999997,-132.8644,0.21690632911392402,"Assumption scenario, not observed FanCode margin"
79,0.0,60,175,79.0,1.8644,17.135599999999997,-157.8644,0.21690632911392402,"Assumption scenario, not observed FanCode margin"
79,0.0,60,200,79.0,1.8644,17.135599999999997,-182.8644,0.21690632911392402,"Assumption scenario, not observed FanCode margin"
79,0.18,10,0,66.94915254237289,1.8644,55.08475254237288,55.08475254237288,0.6972753486376314,"Assumption scenario, not observed FanCode margin"
79,0.18,10,150,66.94915254237289,1.8644,55.08475254237288,-94.91524745762712,0.6972753486376314,"Assumption scenario, not observed FanCode margin"
79,0.18,10,175,66.94915254237289,1.8644,55.08475254237288,-119.91524745762712,0.6972753486376314,"Assumption scenario, not observed FanCode margin"
79,0.18,10,200,66.94915254237289,1.8644,55.08475254237288,-144.91524745762712,0.6972753486376314,"Assumption scenario, not observed FanCode margin"
79,0.18,30,0,66.94915254237289,1.8644,35.08475254237288,35.08475254237288,0.44411079167560613,"Assumption scenario, not observed FanCode margin"
79,0.18,30,150,66.94915254237289,1.8644,35.08475254237288,-114.91524745762712,0.44411079167560613,"Assumption scenario, not observed FanCode margin"
79,0.18,30,175,66.94915254237289,1.8644,35.08475254237288,-139.91524745762712,0.44411079167560613,"Assumption scenario, not observed FanCode margin"
79,0.18,30,200,66.94915254237289,1.8644,35.08475254237288,-164.91524745762712,0.44411079167560613,"Assumption scenario, not observed FanCode margin"
79,0.18,60,0,66.94915254237289,1.8644,5.0847525423728825,5.0847525423728825,0.06436395623256813,"Assumption scenario, not observed FanCode margin"
79,0.18,60,150,66.94915254237289,1.8644,5.0847525423728825,-144.91524745762712,0.06436395623256813,"Assumption scenario, not observed FanCode margin"
79,0.18,60,175,66.94915254237289,1.8644,5.0847525423728825,-169.91524745762712,0.06436395623256813,"Assumption scenario, not observed FanCode margin"
79,0.18,60,200,66.94915254237289,1.8644,5.0847525423728825,-194.91524745762712,0.06436395623256813,"Assumption scenario, not observed FanCode margin"
89,0.0,10,0,89.0,2.1004,76.8996,76.8996,0.8640404494382024,"Assumption scenario, not observed FanCode margin"
89,0.0,10,150,89.0,2.1004,76.8996,-73.1004,0.8640404494382024,"Assumption scenario, not observed FanCode margin"
89,0.0,10,175,89.0,2.1004,76.8996,-98.1004,0.8640404494382024,"Assumption scenario, not observed FanCode margin"
89,0.0,10,200,89.0,2.1004,76.8996,-123.1004,0.8640404494382024,"Assumption scenario, not observed FanCode margin"
89,0.0,30,0,89.0,2.1004,56.89960000000001,56.89960000000001,0.6393213483146069,"Assumption scenario, not observed FanCode margin"
89,0.0,30,150,89.0,2.1004,56.89960000000001,-93.1004,0.6393213483146069,"Assumption scenario, not observed FanCode margin"
89,0.0,30,175,89.0,2.1004,56.89960000000001,-118.1004,0.6393213483146069,"Assumption scenario, not observed FanCode margin"
89,0.0,30,200,89.0,2.1004,56.89960000000001,-143.10039999999998,0.6393213483146069,"Assumption scenario, not observed FanCode margin"
89,0.0,60,0,89.0,2.1004,26.899600000000007,26.899600000000007,0.30224269662921355,"Assumption scenario, not observed FanCode margin"
89,0.0,60,150,89.0,2.1004,26.899600000000007,-123.1004,0.30224269662921355,"Assumption scenario, not observed FanCode margin"
89,0.0,60,175,89.0,2.1004,26.899600000000007,-148.10039999999998,0.30224269662921355,"Assumption scenario, not observed FanCode margin"
89,0.0,60,200,89.0,2.1004,26.899600000000007,-173.10039999999998,0.30224269662921355,"Assumption scenario, not observed FanCode margin"
89,0.18,10,0,75.42372881355932,2.1004,63.32332881355933,63.32332881355933,0.7114980765568464,"Assumption scenario, not observed FanCode margin"
89,0.18,10,150,75.42372881355932,2.1004,63.32332881355933,-86.67667118644067,0.7114980765568464,"Assumption scenario, not observed FanCode margin"
89,0.18,10,175,75.42372881355932,2.1004,63.32332881355933,-111.67667118644067,0.7114980765568464,"Assumption scenario, not observed FanCode margin"
89,0.18,10,200,75.42372881355932,2.1004,63.32332881355933,-136.67667118644067,0.7114980765568464,"Assumption scenario, not observed FanCode margin"
89,0.18,30,0,75.42372881355932,2.1004,43.32332881355933,43.32332881355933,0.4867789754332509,"Assumption scenario, not observed FanCode margin"
89,0.18,30,150,75.42372881355932,2.1004,43.32332881355933,-106.67667118644067,0.4867789754332509,"Assumption scenario, not observed FanCode margin"
89,0.18,30,175,75.42372881355932,2.1004,43.32332881355933,-131.67667118644067,0.4867789754332509,"Assumption scenario, not observed FanCode margin"
89,0.18,30,200,75.42372881355932,2.1004,43.32332881355933,-156.67667118644067,0.4867789754332509,"Assumption scenario, not observed FanCode margin"
89,0.18,60,0,75.42372881355932,2.1004,13.323328813559328,13.323328813559328,0.14970032374785763,"Assumption scenario, not observed FanCode margin"
